职位名称,地区,薪水,工作年限,学历,能力要求,公司名字,公司标签,福利待遇,详情链接
web 前端工程师,深圳·龙华区·民治,8-11K,1-3年,本科,",JavaScript,CSS,Vue,小程序",互真创,",计算机软件,0-20人",
软件测试工程师,深圳·福田区·梅林,20-30K,经验不限,本科,",软件测试,自动化测试,性能测试,功能测试,Python,Java",荣耀终端有限公司,",消费电子,不需要融资,10000人以上",节日福利，补充医疗保险，年终奖，定期体检，带薪年假，零食下午茶，股票期权，加班补助，五险一金，免费班车，通讯补贴
软件测试工程师,深圳·福田区·新洲,10-15K,3-5年,大专,",功能测试,性能测试,自动化测试,Python,MySQL,测试工作经验,自动化测试经验,掌握软件测试理论和流程",警安保,",互联网,500-999人",零食下午茶，包吃，节日福利，定期体检，五险一金
软件测试工程师,深圳·南山区·科技园,12-24K,5-10年,本科,",Jmeter,Selenium,自动化测试,测试工程师,性能测试,接口测试,压力测试",顺丰科技,",互联网,不需要融资,1000-9999人",免费班车，零食下午茶，定期体检，节日福利，餐补，交通补助，五险一金，年终奖，带薪年假，通讯补贴，加班补助，包吃，员工旅游，股票期权
软件测试工程师,深圳·龙岗区·华为坂田基地,15-30K,1-3年,本科,",测试,测试工程师,软件测试,云计算,性能测试",华为技术有限公司,",计算机软件,不需要融资,10000人以上",交通补助，员工旅游，股票期权，离职补偿，年终奖，免费班车，加班补助，定期体检，节日福利，全勤奖，通讯补贴，零食下午茶，住房补贴，补充医疗保险，五险一金，餐补，带薪年假
软件测试工程师,深圳·南山区·前海,12-20K,5-10年,本科,",测试工程师,性能测试,接口测试,MySQL,自动化测试,Python,SaaS,小程序测试",配配车,",互联网,A轮,20-99人",五险一金，带薪年假，年终奖，员工旅游，节日福利，加班补助，零食下午茶
软件测试工程师,深圳·光明区·公明,13-16K·15薪,经验不限,本科,",测试工程师,软件测试,嵌入式技术",迈瑞医疗,",医疗设备/器械,已上市,10000人以上",五险一金，加班补助，餐补，节日福利，定期体检，年终奖，带薪年假，免费班车，员工旅游，住房补贴，交通补助，补充医疗保险
软件测试工程师,深圳·南山区·海岸城,10-15K,3-5年,本科,",测试工程师,软件测试,Monkey,自动化测试,测试开发,功能测试,APP测试,Android测试",海信集团,",通信/网络设备,未融资,10000人以上",免费班车，交通补助，定期体检，零食下午茶，带薪年假，五险一金，餐补，年终奖，节日福利，股票期权
软件测试工程师,深圳·龙岗区·坂田,7-9K,1-3年,大专,",测试工程师,软件测试,性能测试",中勘天成广东分公司,",计算机软件,不需要融资,20-99人",年终奖，餐补，定期体检，五险一金，零食下午茶，全勤奖，带薪年假
软件测试工程师,深圳·南山区·科技园,15-30K·13薪,5-10年,本科,",测试工程师,自动化测试,接口测试,黑盒测试,服务器配置,计算机软件",顺丰速运有限公司,",物流/仓储,已上市,10000人以上",节假日加班费，带薪年假，工龄奖，法定节假日三薪，宿舍有空调，免费工装，餐补，员工旅游，底薪加提成，包住，绩效奖金，节日福利，生日福利，加班补助，团建聚餐，五险一金，生日礼物，保底工资，通讯补贴
软件测试工程师,深圳·南山区·西丽,20-21K·14薪,经验不限,本科,",测试,测试工程师,性能测试,功能测试,黑盒测试,测试开发,灰盒测试,通信测试",Tenda腾达,",通信/网络设备,未融资,1000-9999人",餐补，带薪年假，交通补助，年终奖，免费班车，零食下午茶，节日福利，住房补贴，五险一金，全勤奖
软件测试工程师,深圳·南山区·科技园,15-30K,1-3年,本科,",测试,测试工程师,软件测试,性能测试,功能测试,灰盒测试,web端测试",Shopee,",电子商务,已上市,1000-9999人",零食下午茶，带薪年假，定期体检，补充医疗保险，五险一金
软件测试工程师,深圳·福田区·岗厦,11-18K,3-5年,大专,",测试,测试工程师,自动化测试,功能测试,接口测试,接口自动化测试",诊宝,",医疗健康,未融资,0-20人",加班补助，餐补，带薪年假，零食下午茶，五险一金，年终奖
软件测试工程师,深圳·光明区·光明,11-20K,5-10年,本科,",测试工程师,软件测试,自动化测试,系统测试",德力凯,",医疗健康,100-499人",加班补助，年终奖，节日福利，五险一金，带薪年假，员工旅游，定期体检
